token,count,rank
oft,53,402
Dafuer,53,403
4,53,404
Als,53,405
ersten,53,406
ihn,53,407
Blick,53,408
for,53,409
moechte,52,410
Buerger,52,411
Zeiten,52,412
wuensche,52,413
Digitalisierung,52,414
gehoert,52,415
lange,52,416
5,52,417
Stimmt,52,418
bist,52,419
000,51,420
Mehr,51,421
FDP,51,422
Rosenheim,51,423
G,51,424
30,50,425
Kampf,50,426
wurden,50,427
d,50,428
Damit,50,429
Am,50,430
Ort,50,431
fast,50,432
guten,49,433
Bundeskanzlerin,49,434
mein,49,435
wichtige,49,436
unseres,49,437
nehmen,49,438
heisst,49,439
warum,49,440
Wo,49,441
Rechtsstaat,49,442
2020,48,443
erste,48,444
Staat,48,445
Merkel,48,446
Prozent,48,447
Antwort,48,448
Lieber,48,449
Gott,48,450
Habeck,48,451
Hilfe,47,452
halten,47,453
100,47,454
zwar,47,455
u,47,456
Wahlkreis,47,457
Nachhaltigkeit,47,458
meinen,47,459
herzlichen,47,460
darueber,47,461
Idee,47,462
grossen,46,463
19,46,464
Familien,46,465
staerken,46,466
20,46,467
Mio,46,468
weiterhin,46,469
schoen,46,470
Bildung,46,471
Geschichte,46,472
daran,46,473
Geht,46,474
Ach,46,475
sieht,46,476
Genau,46,477
recht,46,478
Dazu,45,479
allein,45,480
Frieden,45,481
Regierung,45,482
nochmal,45,483
Deutschen,45,484
besten,45,485
deshalb,45,486
sei,45,487
Wuerde,45,488
europaeische,45,489
Fraktion,44,490
2019,44,491
Nachricht,44,492
davon,44,493
Herausforderungen,44,494
Von,44,495
gegenueber,44,496
vielleicht,44,497
sprechen,44,498
Opfer,44,499
Menschenrechte,44,500
europaeischen,44,501
seinen,44,502
Mitte,44,503
Augsburg,44,504
Unser,43,505
los,43,506
Bund,43,507
gewesen,43,508
helfen,43,509
Bitte,43,510
Loesung,43,511
Polizisten,43,512
fuehren,43,513
Vielen,43,514
Keine,43,515
guter,43,516
wegen,42,517
falsch,42,518
weitere,42,519
Lage,42,520
staerker,42,521
darauf,42,522
Zum,42,523
zwei,42,524
denen,42,525
Dass,42,526
Weil,42,527
gemeinsame,42,528
0,41,529
deutsche,41,530
Zu,41,531
Bundesregierung,41,532
laeuft,41,533
leisten,41,534
Besuch,41,535
leben,41,536
hilft,41,537
dort,41,538
Koalitionsvertrag,41,539
arbeiten,40,540
B,40,541
Staaten,40,542
Gruene,40,543
Mann,40,544
schuetzen,40,545
Gewalt,40,546
Natuerlich,40,547
Sache,40,548
naechsten,40,549
verdient,40,550
laesst,40,551
ihm,40,552
Vielleicht,39,553
finden,39,554
zusammen,39,555
Landwirtschaft,39,556
stellt,39,557
Parlament,39,558
Geld,39,559
Signal,39,560
Den,39,561
vergessen,39,562
Tage,39,563
eigenen,39,564
Richtig,39,565
Meinung,39,566
Vorschlag,39,567
Na,39,568
Horst,39,569
Chancen,38,570
Klima,38,571
unterstuetzen,38,572
Unternehmen,38,573
Ohne,38,574
erreichen,38,575
gutes,38,576
konsequent,38,577
Herr,38,578
7,38,579
Antisemitismus,38,580
US,38,581
Pandemie,37,582
sogar,37,583
diskutiert,37,584
bringen,37,585
freuen,37,586
Beitrag,37,587
Entwicklung,37,588
erhalten,37,589
bekommen,37,590
politischen,37,591
Aufgabe,37,592
traurig,37,593
reden,37,594
Viel,37,595
Israel,37,596
Aus,36,597
E,36,598
Region,36,599
Worte,36,600
gesprochen,36,601
6,36,602
Wochen,36,603
Situation,36,604
Hoffnung,36,605
freut,36,606
Dobrindt,36,607
wichtiges,36,608
Spass,36,609
Team,36,610
deren,36,611
zurueck,36,612
is,36,613
Art,36,614
R2,36,615
setzen,35,616
starke,35,617
lesen,35,618
Solidaritaet,35,619
gewaehlt,35,620
Chance,35,621
glaube,35,622
bzw,35,623
all,35,624
Hand,35,625
Angst,35,626
jedoch,35,627
Antrag,34,628
weltweit,34,629
Alle,34,630
Stunde,34,631
werde,34,632
gab,34,633
Alexander,34,634
starkes,34,635
richtigen,34,636
funktioniert,34,637
You,34,638
Einfach,34,639
Grund,34,640
Noch,34,641
deutschen,34,642
bisschen,34,643
wenig,34,644
jede,34,645
darum,34,646
Erst,34,647
Tweet,34,648
Tuerkei,34,649
Franken,34,650
sollen,33,651
Interview,33,652
