Wall time,Step,Value
1624362852.988111,0,0.4057866036891937
1624364659.205466,1,0.5159482359886169
1624366468.86543,2,0.5978121757507324
1624368278.526201,3,0.6560584306716919
1624370082.565711,4,0.6929365992546082
1624371892.944558,5,0.715803325176239
1624373701.099674,6,0.7306596040725708
1624375514.196371,7,0.7409715056419373
1624377323.20644,8,0.7485653162002563
1624379132.944384,9,0.7543032765388489
1624380951.975604,10,0.7587355971336365
1624382773.895151,11,0.7623651027679443
1624384600.774091,12,0.7653380036354065
1624386426.749008,13,0.7677676677703857
1624388241.216727,14,0.7698450684547424
