Wall time,Step,Value
1623884252.016135,0,0.37368762493133545
1623885916.6534,1,0.5436625480651855
1623887579.298325,2,0.6539967656135559
1623889242.395703,3,0.718995213508606
1623890903.928553,4,0.7561928629875183
1623892566.312047,5,0.7779796719551086
1623894229.011112,6,0.7913766503334045
1623895891.109189,7,0.8003291487693787
1623897552.926538,8,0.806548535823822
1623899214.11805,9,0.8110496401786804
1623900875.561433,10,0.8144034147262573
1623902538.309248,11,0.8170491456985474
1623904199.262032,12,0.8192081451416016
1623905860.056354,13,0.8209110498428345
1623907521.545795,14,0.8223008513450623
